TRACKLINE,TRIP_DIRECTION,DESCRIPTION,STATION_POS,x,y
Blue,1,Franconia,1,-8590305.137,4688287.53
Silver,1,Downtown Largo,34,-8554144.002,4707578.249
Blue,1,Franconia,1,-8590297.679,4688273.538
Blue,1,Franconia,1,-8590183.02,4688352.92
Silver,1,Downtown Largo,34,-8554302.187,4707423.907
Silver,1,Downtown Largo,34,-8554302.187,4707423.907
Blue,1,Franconia,1,-8590175.561,4688338.928
Silver,2,Downtown Largo,34,-8554313.987,4707436.78
Blue,1,Franconia,1,-8590120.681,4688368.339
Silver,2,Downtown Largo,34,-8554406.16,4707346.665
Blue,1,Franconia,1,-8590088.287,4688394.752
Silver,1,Morgan Blvd,33,-8556584.237,4706633.496
Blue,2,Van Dorn St,2,-8586544.097,4692860.53
Silver,1,Morgan Blvd,33,-8556720.269,4706567.703
Blue,2,Van Dorn St,2,-8586198.005,4692933.234
Silver,1,Morgan Blvd,33,-8556870.662,4706492.327
Blue,2,Van Dorn St,2,-8585992.397,4692970.371
Silver,2,Morgan Blvd,33,-8556877.675,4706506.487
Blue,1,Van Dorn St,2,-8585989.726,4692954.659
Silver,2,Morgan Blvd,33,-8557040.313,4706424.962
Blue,1,Van Dorn St,2,-8585861.708,4692977.656
Silver,2,Morgan Blvd,33,-8557187.811,4706350.874
Orange,2,Vienna,1,-8602076.283,4704127.36
Orange,2,Vienna,1,-8602072.164,4704111.917
Orange,2,Vienna,1,-8601933.126,4704158.533
Orange,2,Vienna,1,-8601929.675,4704142.947
Orange,1,Vienna,1,-8601808.337,4704185.559
Orange,1,Vienna,1,-8601716.498,4704197.428
Orange,1,Vienna,1,-8601552.525,4704225.026
Orange,2,Dunn Loring,2,-8597102.305,4704937.311
Blue,1,Van Dorn St,2,-8585746.604,4692998.367
Silver,1,Addison Road,32,-8559392.828,4705455.861
Orange,2,Dunn Loring,2,-8596900.706,4705025.402
Orange,1,Dunn Loring,2,-8596894.917,4705012.103
Blue,2,King Street,3,-8578654.773,4693809.86
Silver,1,Addison Road,32,-8559548.675,4705453.859
Orange,1,Dunn Loring,2,-8596773.801,4705063.871
Blue,2,King Street,3,-8578491.468,4693927.854
Silver,1,Addison Road,32,-8559650.532,4705453.43
Orange,2,West Falls Church,3,-8593047.382,4707464.387
Blue,2,King Street,3,-8578393.395,4694013.851
