ITT,DATE_TIME,TRACKLINE,TRIP_DIRECTION,DEST_STATION,DESCRIPTION,x,y
13,7/26/2024 6:23:21 PM,Red,2,SHADY GROVE,Fort Totten Upper- Track 2; ,-8571769.99670807,4714515.3223357145
13,7/26/2024 6:23:27 PM,Red,2,SHADY GROVE,,-8571706.433278827,4714318.219963978
13,7/26/2024 6:23:32 PM,Red,2,SHADY GROVE,,-8571666.914859595,4714195.551793479
13,7/26/2024 6:23:37 PM,Red,2,SHADY GROVE,,0,0
13,7/26/2024 6:23:40 PM,Red,2,SHADY GROVE,,0,0
13,7/26/2024 6:23:45 PM,Red,2,SHADY GROVE,,-8571534.444665553,4713787.3365426045
13,7/26/2024 6:23:51 PM,Red,2,SHADY GROVE,,-8571418.783714617,4713458.285782524
13,7/26/2024 6:23:56 PM,Red,2,SHADY GROVE,,-8571418.783714617,4713458.285782524
13,7/26/2024 6:24:01 PM,Red,2,SHADY GROVE,,-8571418.783714617,4713458.285782524
13,7/26/2024 6:24:06 PM,Red,2,SHADY GROVE,,-8571278.96643418,4713025.769869743
13,7/26/2024 6:24:11 PM,Red,2,SHADY GROVE,,-8571247.240379304,4712927.304230064
13,7/26/2024 6:24:17 PM,Red,2,SHADY GROVE,,-8571203.15786095,4712790.484374953
13,7/26/2024 6:24:22 PM,Red,1,SHADY GROVE,,-8571319.375409339,4713151.143200612
13,7/26/2024 6:24:27 PM,Red,2,SHADY GROVE,,-8571162.19228834,4712663.398128472
13,7/26/2024 6:24:32 PM,Red,2,SHADY GROVE,,-8571055.882174632,4712330.376741062
13,7/26/2024 6:24:37 PM,Red,2,SHADY GROVE,Brookland-CUA- Track 2; ,-8570999.443192799,4712098.112598436
13,7/26/2024 6:24:40 PM,Red,2,SHADY GROVE,Brookland-CUA- Track 2;  motion;,-8570999.443192799,4712098.112598436
13,7/26/2024 6:24:45 PM,Red,2,SHADY GROVE,Brookland-CUA- Track 2;  motion;,-8570999.443192799,4712098.112598436
13,7/26/2024 6:24:50 PM,Red,2,SHADY GROVE,Brookland-CUA- Track 2;  motion;,-8570999.443192799,4712098.112598436
13,7/26/2024 6:24:56 PM,Red,2,SHADY GROVE,Brookland-CUA- Track 2;  motion;,-8570999.443192799,4712098.112598436
13,7/26/2024 6:25:01 PM,Red,2,SHADY GROVE,Brookland-CUA- Track 2; ,-8570999.443192799,4712098.112598436
13,7/26/2024 6:25:06 PM,Red,2,SHADY GROVE,Brookland-CUA- Track 2;  Doors open left,-8570999.443192799,4712098.112598436
