ITT,TRACKLINE,TRIP_DIRECTION,DESCRIPTION,x,y
7,Blue,1,Addison Road-Seat Pleasant- Track 1;  Doors open left,-8559815.730550252,4705452.572146696
255,Blue,2,Stadium-Armory- Track 2;  Doors operating manually; Doors open left,-8569056.584119983,4705487.610307085
150,Silver,1,Federal Center SW- Track 1; ,-8573244.423363626,4705215.745953633
201,Silver,2,Clarendon- Track 2;  motion;,-8582226.793075737,4705463.298101328
332,Blue,2,Rosslyn- Track 2;  Doors open left,-8579494.344854726,4706789.971491729
508,Red,1,Takoma- Track 2; ,-8573676.899585359,4718351.350571043
511,Green,1,Branch Avenue- Track 1;  Doors open left,-8561780.074284792,4696886.578519149
2,Orange,1,Farragut West- Track 1;  motion;,-8576105.334277015,4707546.779255332
499,Red,2,Tenleytown-AU- Track 2; ,-8580463.381022079,4714355.865219186
322,Yellow,1,Braddock Road- Track 1;  Doors open left,-8577574.194958031,4695072.00935536
507,Yellow,1,Mt Vernon Sq- Track 1;  Doors open left,-8574033.789872844,4708298.779621934
4,Red,1,Rhode Island Avenue- Track 1;  motion;,-8571141.486863052,4710347.358312003
225,Silver,2,Innovation Center- Track 2; ,-8617828.102065315,4716059.781318219
323,Green,1,Naylor Road- Track 1;  motion;,-8566771.41761298,4700375.747190903
273,Blue,1,Downtown Largo- Track 1; ,-8554144.002494335,4707578.248574757
207,Blue,1,McPherson Square- Track 1;  Doors open right,-8575322.646937247,4707546.636213195
341,Blue,2,Capitol South- Track 2; ,-8572482.664088128,4705230.046895637
257,Green,1,Gallery Place-Chinatown Lower- Track 1;  motion;,-8574031.452163536,4707125.3858543
114,Green,1,Greenbelt- Track 1; ,-8561620.887412956,4723382.305999677
262,Blue,2,Morgan Blvd- Track 2; ,-8557148.292911865,4706370.897894851
18,Orange,2,Minnesota Avenue- Track 2; ,-8565677.926254919,4707244.106598232
35,Yellow,1,Ronald Reagan Washington National Airport- ,-8576557.848007089,4700914.935826651
501,Silver,2,Ashburn- Track 2; ,-8626475.288790647,4722646.090810739
34,Red,1,Medical Center- Track 1; ,-8582379.078139143,4721417.1790115135
39,Red,1,North Bethesda- Track 1; ,-8584120.671572601,4728424.360871889
43,Orange,1,West Falls Church- Track 1;  motion;,-8592664.219852004,4707457.521352545
42,Silver,1,Benning Road- Track 1;  Doors open left,-8564772.342197314,4706074.410191953
222,Red,1,Friendship Heights- Track 1;  motion;,-8581072.855234174,4715852.627785928
299,Silver,1,Dulles Airport- Track 1; ,-8621140.079555398,4715390.806597455
29,Blue,1,Stadium-Armory- Track 1; ,-8569040.776752291,4705487.753320234
30,Orange,2,New Carrollton- Track 1; ,-8557331.52479371,4714224.465277678
505,Silver,2,Potomac Avenue- Track 2; ,-8570241.246141007,4704695.062363465
503,Silver,1,Greensboro- Track 1;  Doors open left,-8597674.487493629,4710396.292335668
51,Orange,2,Eastern Market- Track 2; ,-8571352.659937086,4705266.51438886
