ITT,DATE_TIME,TRACKLINE,TRIP_DIRECTION,DEST_STATION,DESCRIPTION,x,y
322,7/26/2024 6:23:06 PM,Yellow,1,,-8577947.449210662,4694461.272446317
13,7/26/2024 6:23:05 PM,Red,2,,-8571848.810907552,4714766.250503211
505,7/26/2024 6:23:07 PM,Silver,1,,-8626041.699374007,4722084.116265055
322,7/26/2024 6:23:11 PM,Yellow,1,,-8577867.521816272,4694572.130972985
13,7/26/2024 6:23:11 PM,Red,2,,-8571799.941651095,4714609.079709735
505,7/26/2024 6:23:12 PM,Silver,1,,-8626041.699374007,4722084.116265055
322,7/26/2024 6:23:17 PM,Yellow,1,,-8577867.521816272,4694572.130972985
13,7/26/2024 6:23:16 PM,Red,2,,-8571799.941651095,4714609.079709735
505,7/26/2024 6:23:17 PM,Silver,1,,-8625684.809086522,4721901.620910948
322,7/26/2024 6:23:20 PM,Yellow,1,MT VERNON SQ,,-8577867.521816272,4694572.130972985
13,7/26/2024 6:23:21 PM,Red,2,SHADY GROVE,Fort Totten Upper- Track 2; ,-8571769.99670807,4714515.3223357145
505,7/26/2024 6:23:20 PM,Silver,1,LARGO TOWN CENTER,,-8625684.809086522,4721901.620910948
322,7/26/2024 6:23:25 PM,Yellow,1,MT VERNON SQ,,-8577665.14298201,4694907.285358129
13,7/26/2024 6:23:27 PM,Red,2,SHADY GROVE,,-8571706.433278827,4714318.219963978
505,7/26/2024 6:23:25 PM,Silver,1,LARGO TOWN CENTER,,-8625684.809086522,4721901.620910948
322,7/26/2024 6:23:30 PM,Yellow,1,MT VERNON SQ,,-8577665.14298201,4694907.285358129
13,7/26/2024 6:23:32 PM,Red,2,SHADY GROVE,,-8571666.914859595,4714195.551793479
505,7/26/2024 6:23:30 PM,Silver,1,LARGO TOWN CENTER,,-8625684.809086522,4721901.620910948
322,7/26/2024 6:23:35 PM,Yellow,1,MT VERNON SQ,Braddock Road- Track 1; ,-8577574.194958031,4695072.00935536
13,7/26/2024 6:23:37 PM,Red,2,SHADY GROVE,,0,0
505,7/26/2024 6:23:36 PM,Silver,1,LARGO TOWN CENTER,,-8625684.809086522,4721901.620910948
322,7/26/2024 6:23:41 PM,Yellow,1,MT VERNON SQ,Braddock Road- Track 1;  motion;,-8577574.194958031,4695072.00935536
13,7/26/2024 6:23:40 PM,Red,2,SHADY GROVE,,0,0
505,7/26/2024 6:23:41 PM,Silver,1,LARGO TOWN CENTER,,-8625221.942643804,4721613.846452387
322,7/26/2024 6:23:46 PM,Yellow,1,MT VERNON SQ,Braddock Road- Track 1;  motion;,-8577574.194958031,4695072.00935536
13,7/26/2024 6:23:45 PM,Red,2,SHADY GROVE,,-8571534.444665553,4713787.3365426045
505,7/26/2024 6:23:46 PM,Silver,1,LARGO TOWN CENTER,,-8625221.942643804,4721613.846452387
322,7/26/2024 6:23:51 PM,Yellow,1,MT VERNON SQ,Braddock Road- Track 1;  motion;,-8577574.194958031,4695072.00935536
13,7/26/2024 6:23:51 PM,Red,2,SHADY GROVE,,-8571418.783714617,4713458.285782524
505,7/26/2024 6:23:52 PM,Silver,1,LARGO TOWN CENTER,,-8625221.942643804,4721613.846452387
322,7/26/2024 6:23:57 PM,Yellow,1,MT VERNON SQ,Braddock Road- Track 1;  motion;,-8577574.194958031,4695072.00935536
