ITT,DATE_TIME,TRACKLINE,TRIP_DIRECTION,DEST_STATION,DESCRIPTION,TRKID
300,7/27/2024 10:28:12 AM,Green,2,BRANCH AVE,Branch Avenue- Track 1; ,F11-F1-540
300,7/27/2024 10:28:14 AM,Green,2,BRANCH AVE,Branch Avenue- Track 1; ,F11-F1-540
300,7/27/2024 10:28:23 AM,Green,2,BRANCH AVE,Branch Avenue- Track 1; ,F11-F1-540
300,7/27/2024 10:28:27 AM,Green,2,BRANCH AVE,Branch Avenue- Track 1; ,F11-F1-540
300,7/27/2024 10:28:32 AM,Green,2,BRANCH AVE,Branch Avenue- Track 1; ,F11-F1-540
300,7/27/2024 10:28:37 AM,Green,2,BRANCH AVE,Branch Avenue- Track 1; ,F11-F1-540
300,7/27/2024 10:28:44 AM,Green,2,BRANCH AVE,Branch Avenue- Track 1; ,F11-F1-540
300,7/27/2024 10:28:49 AM,Green,2,BRANCH AVE,Branch Avenue- Track 1; ,F11-F1-540
300,7/27/2024 10:28:54 AM,Green,2,BRANCH AVE,Branch Avenue- Track 1; ,F11-F1-540
300,7/27/2024 10:28:59 AM,Green,2,BRANCH AVE,Branch Avenue- Track 1; ,F11-F1-540
300,7/27/2024 10:29:04 AM,Green,2,BRANCH AVE,Branch Avenue- Track 1; ,F11-F1-540
260,7/27/2024 10:29:09 AM,Orange,2,VIENNA,Vienna-Fairfax-GMU- Track 2; ,K08-K2-783
300,7/27/2024 10:29:09 AM,Green,2,BRANCH AVE,Branch Avenue- Track 1; ,F11-F1-540
260,7/27/2024 10:29:14 AM,Orange,2,VIENNA,Vienna-Fairfax-GMU- Track 2; ,K08-K2-783
300,7/27/2024 10:29:14 AM,Green,2,BRANCH AVE,Branch Avenue- Track 1; ,F11-F1-540
260,7/27/2024 10:29:18 AM,Orange,2,VIENNA,Vienna-Fairfax-GMU- Track 2; ,K08-K2-783
300,7/27/2024 10:29:19 AM,Green,2,BRANCH AVE,Branch Avenue- Track 1;  motion;,F11-F1-540
260,7/27/2024 10:29:23 AM,Orange,2,VIENNA,Vienna-Fairfax-GMU- Track 2; ,K08-K2-783
300,7/27/2024 10:29:24 AM,Green,2,BRANCH AVE,Branch Avenue- Track 1; ,F11-YL1-34T
260,7/27/2024 10:29:31 AM,Orange,2,VIENNA,Vienna-Fairfax-GMU- Track 2; ,K08-K2-783
300,7/27/2024 10:29:29 AM,Green,2,BRANCH AVE,Branch Avenue- Track 1; ,F11-YL1-34T
260,7/27/2024 10:29:36 AM,Orange,2,VIENNA,Vienna-Fairfax-GMU- Track 2; ,K08-K2-783
300,7/27/2024 10:29:36 AM,Green,2,BRANCH AVE,Branch Avenue- Track 1; ,F11-YL1-34T
260,7/27/2024 10:29:40 AM,Orange,2,VIENNA,Vienna-Fairfax-GMU- Track 2; ,K08-K2-783
300,7/27/2024 10:29:41 AM,Green,2,BRANCH AVE,Branch Avenue- Track 1; ,F11-YL1-34T
260,7/27/2024 10:29:46 AM,Orange,2,VIENNA,Vienna-Fairfax-GMU- Track 2; ,K08-K2-783
300,7/27/2024 10:29:46 AM,Green,2,BRANCH AVE,Branch Avenue- Track 1; ,F11-YL1-34T
260,7/27/2024 10:29:51 AM,Orange,2,VIENNA,Vienna-Fairfax-GMU- Track 2; ,K08-K2-783
300,7/27/2024 10:29:51 AM,Green,2,BRANCH AVE,Branch Avenue- Track 1; ,F11-YL1-34T
260,7/27/2024 10:29:55 AM,Orange,2,VIENNA,Vienna-Fairfax-GMU- Track 2; ,K08-K2-783
260,7/27/2024 10:30:03 AM,Orange,2,VIENNA,Vienna-Fairfax-GMU- Track 2; ,K08-K2-783
260,7/27/2024 10:30:08 AM,Orange,2,VIENNA,Vienna-Fairfax-GMU- Track 2; ,K08-K2-783
260,7/27/2024 10:30:13 AM,Orange,2,VIENNA,Vienna-Fairfax-GMU- Track 2; ,K08-K2-783
260,7/27/2024 10:30:18 AM,Orange,2,VIENNA,Vienna-Fairfax-GMU- Track 2; ,K08-K2-783
260,7/27/2024 10:30:23 AM,Orange,2,VIENNA,Vienna-Fairfax-GMU- Track 2; ,K08-K2-783
260,7/27/2024 10:30:30 AM,Orange,2,VIENNA,Vienna-Fairfax-GMU- Track 2; ,K08-K2-783
260,7/27/2024 10:30:35 AM,Orange,2,VIENNA,Vienna-Fairfax-GMU- Track 2; ,K08-K2-783
260,7/27/2024 10:30:40 AM,Orange,2,VIENNA,Vienna-Fairfax-GMU- Track 2; ,K08-K2-783
260,7/27/2024 10:30:42 AM,Orange,2,VIENNA,Vienna-Fairfax-GMU- Track 2; ,K08-K2-783
254,7/27/2024 10:30:42 AM,Yellow,2,HUNTINGTON,Huntington- Track 2; ,C15-C2-623
